No Soal,Part Nama,Nama File Audio,Kunci Jawaban,Pilihan A,Pilihan B,Pilihan C,Pilihan D,Audio Script,Pertanyaan,Penjelasan Lengkap
54,Part A (Suggestion),listening_simulation_33.mp3,A,Take immediate action to request a temporary extension from the management.,Ignore the supervisor and quit the current position.,Continue working despite being having a terrible misunderstanding with the logistics team.,Submit the report without reviewing the guidelines.,"Man: I am totally having a terrible misunderstanding with the logistics team. 
Woman: Why don't you request a temporary extension from the management before doing anything else? 
Narrator: What does the woman suggest the man do?",What does the woman suggest the man do?,Menguji struktur pemberian saran menggunakan pola 'Why don't you...'. Wanita menyarankan pria agar request a temporary extension from the management.
55,Part C: Academic Talks,listening_simulation_34.mp3,A,A comprehensive analysis of conflict resolution in corporate teams.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis conflict resolution in corporate teams.
56,Part C: Academic Talks,listening_simulation_34.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
57,Part A (Idiom),listening_simulation_35.mp3,B,The man is sitting on the office boundary fence.,The man is undecided and needs to make a firm choice.,The man already completed the assigned spreadsheet.,The man wants to complain to the supervisor.,"Man: I am honestly still on the fence about finalizing the annual tax report. 
Woman: You need to make up your mind quickly, or the marketing coordinator will be very disappointed. 
Narrator: What does the woman imply about the man?",What does the woman imply about the man?,Menguji idiom 'on the fence' (ragu-ragu) dan 'make up your mind' (mengambil keputusan). Pilihan B benar karena merefrasa makna idiom tersebut secara akurat.
58,Part C: Academic Talks,listening_simulation_36.mp3,A,A comprehensive analysis of the psychology of consumer choice.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the psychology of consumer choice.
59,Part C: Academic Talks,listening_simulation_36.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
60,Part C: Academic Talks,listening_simulation_37.mp3,A,A comprehensive analysis of sustainable workplace design.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis sustainable workplace design.
61,Part C: Academic Talks,listening_simulation_37.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
62,Part C: Academic Talks,listening_simulation_38.mp3,A,A comprehensive analysis of the psychology of consumer choice.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the psychology of consumer choice.
63,Part C: Academic Talks,listening_simulation_38.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
64,Part C: Academic Talks,listening_simulation_39.mp3,A,A comprehensive analysis of sustainable workplace design.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis sustainable workplace design.
